COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-11 04:00:00","999936","15.73180459","0.0001104","53.2171","172.812","78.9226","125.2808","0","999","298","0.000031185","0.00003755","0","3601840","0 STARLINK-5022","1 53903U 22119T   22284.16667824  .00003755  00000-0  31185-4 0  9995","2 53903  53.2171 172.8120 0001104  78.9226 125.2808 15.73180459  2980","2022-119T","53903","6727.951","91.534","350.559","349.073","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-11 14:00:01","224","15.73091833","0.0000886","53.2174","170.737","83.3299","322.0239","0","999","130","0.001271","0.00180807","0","3603543","0 STARLINK-5022","1 53903U 22119T   22284.58334491  .00180807  00000-0  12710-2 0  9997","2 53903  53.2174 170.7370 0000886  83.3299 322.0239 15.73091833  1300","2022-119T","53903","6728.204","91.539","350.665","349.472","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-11 20:00:01","999872","15.73207026","0.0001154","53.2175","169.5173","91.5493","290.4194","0","999","308","0.00026691","0.00037015","0","3603808","0 STARLINK-5022","1 53903U 22119T   22284.83335648  .00037015  00000-0  26691-3 0  9996","2 53903  53.2175 169.5173 0001154  91.5493 290.4194 15.73207026  3082","2022-119T","53903","6727.875","91.533","350.517","348.964","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-11 22:00:00","999936","15.73209905","0.0001146","53.2173","169.1055","86.9372","47.2013","0","999","130","0.00034099","0.00047527","0","3604484","0 STARLINK-5022","1 53903U 22119T   22284.91667824  .00047527  00000-0  34099-3 0  9999","2 53903  53.2173 169.1055 0001146  86.9372  47.2013 15.73209905  1309","2022-119T","53903","6727.867","91.533","350.503","348.961","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-12 12:00:00","999648","15.73232741","0.000088","53.2174","166.2082","90.0436","109.7728","0","999","319","-0.000027552","-0.00004489","0","3605440","0 STARLINK-5022","1 53903U 22119T   22285.50001157 -.00004489  00000-0 -27552-4 0  9995","2 53903  53.2174 166.2082 0000880  90.0436 109.7728 15.73232741  3199","2022-119T","53903","6727.802","91.531","350.259","349.075","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-12 14:00:01","224","15.73224341","0.0000943","53.2171","165.7937","91.1065","220.9575","0","999","130","0.000022776","0.00002581","0","3606148","0 STARLINK-5022","1 53903U 22119T   22285.58334491  .00002581  00000-0  22776-4 0  9995","2 53903  53.2171 165.7937 0000943  91.1065 220.9575 15.73224341  1303","2022-119T","53903","6727.826","91.532","350.325","349.056","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-12 22:00:00","999936","15.73211009","0.0001022","53.2175","164.1395","76.718","324.314","0","999","130","-0.000080926","-0.00011966","0","3606891","0 STARLINK-5022","1 53903U 22119T   22285.91667824 -.00011966  00000-0 -80926-4 0  9991","2 53903  53.2175 164.1395 0001022  76.7180 324.3140 15.73211009  1308","2022-119T","53903","6727.864","91.533","350.416","349.041","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-13 04:00:00","999936","15.73204029","0.0000992","53.2171","162.9008","68.5387","309.1977","0","999","329","0.000012472","0.00001131","0","3606976","0 STARLINK-5022","1 53903U 22119T   22286.16667824  .00001131  00000-0  12472-4 0  9991","2 53903  53.2171 162.9008 0000992  68.5387 309.1977 15.73204029  3297","2022-119T","53903","6727.884","91.533","350.416","349.081","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-13 14:00:01","224","15.72978468","0.0001249","53.2166","160.8415","89.7479","129.2962","0","999","130","0.0022031","0.00317532","0","3609209","0 STARLINK-5022","1 53903U 22119T   22286.58334491  .00317532  00000-0  22031-2 0  9993","2 53903  53.2166 160.8415 0001249  89.7479 129.2962 15.72978468  1302","2022-119T","53903","6728.527","91.546","351.232","349.551","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-13 22:00:00","999936","15.73203803","0.0001347","53.2173","159.1889","84.9166","222.9226","0","999","130","0.0000052774","0.00000121","0","3609636","0 STARLINK-5022","1 53903U 22119T   22286.91667824  .00000121  00000-0  52774-5 0  9992","2 53903  53.2173 159.1889 0001347  84.9166 222.9226 15.73203803  1304","2022-119T","53903","6727.884","91.533","350.656","348.843","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-14 06:00:00","999648","15.73280762","0.0001076","53.2166","157.5493","83.4839","313.3293","0","999","347","-0.0015988","-0.00219986","0","3609739","0 STARLINK-5022","1 53903U 22119T   22287.25001157 -.00219986  00000-0 -15988-2 0  9997","2 53903  53.2166 157.5493 0001076  83.4839 313.3293 15.73280762  3477","2022-119T","53903","6727.665","91.528","350.254","348.806","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-14 14:00:01","224","15.73132203","0.0001205","53.2173","155.8912","93.2014","32.5408","0","999","352","0.00081294","0.00114705","0","3611038","0 STARLINK-5022","1 53903U 22119T   22287.58334491  .00114705  00000-0  81294-3 0  9998","2 53903  53.2173 155.8912 0001205  93.2014  32.5408 15.73132203  3520","2022-119T","53903","6728.088","91.537","350.764","349.143","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-14 18:00:00","999648","15.73205974","0.0001188","53.2177","155.0639","89.8824","260.2922","0","999","354","-0.00002088","-0.0000355","0","3612059","0 STARLINK-5022","1 53903U 22119T   22287.75001157 -.00003550  00000-0 -20880-4 0  9999","2 53903  53.2177 155.0639 0001188  89.8824 260.2922 15.73205974  3541","2022-119T","53903","6727.878","91.533","350.542","348.944","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-14 18:00:00","999648","15.73205974","0.0001188","53.2177","155.0639","89.8824","260.2922","0","999","130","-0.00002088","-0.0000355","0","3612869","0 STARLINK-5022","1 53903U 22119T   22287.75001157 -.00003550  00000-0 -20880-4 0  9999","2 53903  53.2177 155.0639 0001188  89.8824 260.2922 15.73205974  1303","2022-119T","53903","6727.878","91.533","350.542","348.944","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-15 12:00:00","999648","15.73196538","0.0000961","53.2158","151.3722","101.4015","179.0366","0","999","366","0.00013514","0.00018385","0","3613755","0 STARLINK-5022","1 53903U 22119T   22288.50001157  .00018385  00000-0  13514-3 0  9998","2 53903  53.2158 151.3722 0000961 101.4015 179.0366 15.73196538  3660","2022-119T","53903","6727.905","91.533","350.417","349.123","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-15 14:00:01","224","15.73201334","0.0001017","53.216","150.9596","102.0089","290.6618","0","999","130","0.000057286","0.00007428","0","3614916","0 STARLINK-5022","1 53903U 22119T   22288.58334491  .00007428  00000-0  57286-4 0  9997","2 53903  53.2160 150.9596 0001017 102.0089 290.6618 15.73201334  1308","2022-119T","53903","6727.891","91.533","350.441","349.072","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","53903","STARLINK-5022","PAYLOAD","U","22119T","2022-10-15 20:00:01","999872","15.73332158","0.0000914","53.2165","149.7152","93.1992","276.2273","0","999","371","-0.002651","-0.00359228","0","3614996","0 STARLINK-5022","1 53903U 22119T   22288.83335648 -.00359228  00000-0 -26510-2 0  9994","2 53903  53.2165 149.7152 0000914  93.1992 276.2273 15.73332158  3718","2022-119T","53903","6727.518","91.525","349.998","348.769","0"
